Année,Province/Territoires,CategoryID,Catégories,Rollup,CO2,CH4,CH4eq,N2O,N2Oeq,HFCs,PFCs,SF6,NF3,CO2E,Unit
1990,Québec,110,Production de chaleur et d'électricité du secteur public ,FALSE,1482.360041,0.048356635,1.208915867,0.039851861,11.87585462,0,0,0,0,1495.444811,kt
1990,Québec,120,Industries de raffinage du pétrole ,FALSE,3448.997027,0.081970764,2.049269105,0.034927519,10.4084006,0,0,0,0,3461.454697,kt
1990,Québec,131,Exploitation minière,FALSE,819.9265083,0.015677501,0.39193752,0.011864551,3.535636305,0,0,0,0,823.8540822,kt
1990,Québec,141,Sidérurgie,FALSE,753.4609583,0.014540991,0.363524782,0.012892437,3.841946327,0,0,0,0,757.6664294,kt
1990,Québec,142,Métaux non ferreux,FALSE,1841.572468,0.039128233,0.978205824,0.025549583,7.613775687,0,0,0,0,1850.16445,kt
1990,Québec,143,Produits chimiques,FALSE,551.9916065,0.013697612,0.342440305,0.00957165,2.852351702,0,0,0,0,555.1863985,kt
1990,Québec,144,Pâtes et papiers,FALSE,4337.270657,0.312229524,7.805738106,0.224345882,66.85507274,0,0,0,0,4411.931468,kt
1990,Québec,145,Ciment,FALSE,1014.389928,0.053432248,1.33580621,0.013883564,4.137301928,0,0,0,0,1019.863036,kt
1990,Québec,146,Autres industries manufacturières,FALSE,3675.29849,0.088276959,2.206923983,0.073442428,21.88584355,0,0,0,0,3699.391258,kt
1990,Québec,150,Construction,FALSE,453.9105279,0.007789797,0.194744916,0.013199714,3.933514668,0,0,0,0,458.0387875,kt
1990,Québec,160,Commercial et institutionnel,FALSE,4372.131827,1.110028844,27.75072109,0.149406247,44.52306159,0,0,0,0,4444.40561,kt
1990,Québec,170,Résidentiel,FALSE,6131.03055,75.80365758,1895.09144,0.877935365,261.6247388,0,0,0,0,8287.746729,kt
1990,Québec,180,Agriculture et foresterie,FALSE,287.9915459,0.005532171,0.138304281,0.008183829,2.438780992,0,0,0,0,290.5686312,kt
